user_id,name,income,family_id
37,JohnDoe,50000.75,100
12,JaneSmith,60000.50,100
45,MarkJohnson,45000.25,101
29,EmilyDavis,52000.30,103
7,MichaelBrown,48000.20,105
41,SarahWilson,57000.90,103
23,DavidMiller,53000.45,106
19,JessicaMoore,49000.75,109
50,DanielTaylor,51000.60,100
3,LauraAnderson,55000.80,110
34,JamesThomas,47000.10,111
27,OliviaHarris,59000.25,111
9,BenjaminMartin,46500.50,112
49,EmmaWhite,58000.35,112
16,AlexanderClark,49500.90,112
2,CharlotteLewis,56000.70,113
22,WilliamWalker,47500.80,114
32,AvaHall,53500.20,114
14,EthanYoung,54500.60,115
48,IsabellaAllen,52500.90,117
5,MatthewKing,50500.75,118
39,MiaWright,49500.40,119
10,HenryScott,48000.30,120
42,AmeliaGreen,51000.55,121
25,LucasBaker,49000.85,122
8,SophiaAdams,56000.25,123
44,ChristopherNelson,53000,123
1,EvelynCarter,57500.95,124
36,MasonMitchell,48500.20,124
17,HarperPerez,54000.75,125
31,ElijahRoberts,55000.30,126
28,AbigailPhillips,47000.65,128
6,DanielCampbell,50000.90,128
21,ElizabethEvans,52500.40,128
38,SamuelEdwards,53500.75,128
11,VictoriaCollins,51000.60,129
33,JosephStewart,49500.30,130
47,SofiaSanchez,48000.10,131
4,OwenMorris,50500.50,132
46,ChloeRogers,52000.85,133
13,JackReed,57000.40,134
30,AriaCook,59000.20,135
40,NoahMorgan,46500.30,136
24,ScarlettBell,58000.95,139
18,LiamMurphy,55000.65,140
26,EmilyBailey,49500.70,140
35,BenjaminCooper,53000.85,140
20,HannahRichardson,51500.60,140
15,LucasCox,47500.30,141
43,AveryHoward,56000.25,142
